,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
0,MOEA-QR-BSA,100,2,0.1,0.0,452.42574650551524,21018,5.241000175476074,False,51,100,0.2
1,BSA,100,2,0.1,0.0,452.42574650551524,21018,5.24399995803833,False,51,100,0.2
2,MOEA-QR-BSA,100,2,0.1,0.0,110.790199965557,19608,5.26200008392334,False,51,100,0.2
3,BSA,100,2,0.1,0.0,110.790199965557,19608,5.317999839782715,False,51,100,0.2
4,MOEA-QR-BSA,100,2,0.1,0.0,275.51184072887395,19830,5.2129998207092285,False,51,100,0.2
5,BSA,100,2,0.1,0.0,275.51184072887395,19830,5.355000019073486,False,51,100,0.2
6,MOEA-QR-BSA,100,2,0.1,0.0,516.335888654574,20457,5.353000164031982,False,51,100,0.2
7,BSA,100,2,0.1,0.0,516.335888654574,20457,5.328000068664551,False,51,100,0.2
8,MOEA-QR-BSA,100,2,0.1,0.0,238.5976501039192,20538,5.23199987411499,False,51,100,0.2
9,BSA,100,2,0.1,0.0,238.5976501039192,20538,5.216000080108643,False,51,100,0.2
10,MOEA-QR-BSA,100,2,0.1,0.0,101.5221194350055,20070,5.2179999351501465,False,51,100,0.2
11,BSA,100,2,0.1,0.0,101.5221194350055,20070,5.2179999351501465,False,51,100,0.2
12,MOEA-QR-BSA,100,2,0.1,0.0,167.24723356383078,20490,5.263000011444092,False,51,100,0.2
13,BSA,100,2,0.1,0.0,167.24723356383078,20490,5.303999900817871,False,51,100,0.2
14,MOEA-QR-BSA,100,2,0.1,0.0,392.8386673456011,20364,5.297999858856201,False,51,100,0.2
15,BSA,100,2,0.1,0.0,392.8386673456011,20364,5.261000156402588,False,51,100,0.2
16,MOEA-QR-BSA,100,2,0.1,0.0,229.95391278537446,20790,5.302999973297119,False,51,100,0.2
17,BSA,100,2,0.1,0.0,229.95391278537446,20790,6.860000133514404,False,51,100,0.2
18,MOEA-QR-BSA,100,2,0.1,0.0,80.73748423245917,20289,6.77400016784668,False,51,100,0.2
19,BSA,100,2,0.1,0.0,80.73748423245917,20289,6.728000164031982,False,51,100,0.2
20,MOEA-QR-BSA,100,2,0.3,0.0,69.92320421989474,20499,6.764999866485596,False,51,100,0.2
21,BSA,100,2,0.3,0.0,69.92320421989474,20499,6.8520002365112305,False,51,100,0.2
22,MOEA-QR-BSA,100,2,0.3,0.0,963.8739519723529,20184,6.770999908447266,False,51,100,0.2
23,BSA,100,2,0.3,0.0,963.8739519723529,20184,6.791999816894531,False,51,100,0.2
24,MOEA-QR-BSA,100,2,0.3,0.0,1578.5215698838185,19686,6.829999923706055,False,51,100,0.2
25,BSA,100,2,0.3,0.0,1578.5215698838185,19686,5.236000061035156,False,51,100,0.2
26,MOEA-QR-BSA,100,2,0.3,0.0,602.2405439308499,20388,5.24399995803833,False,51,100,0.2
27,BSA,100,2,0.3,0.0,602.2405439308499,20388,5.190000057220459,False,51,100,0.2
28,MOEA-QR-BSA,100,2,0.3,0.0,1112.4393641624029,19767,5.2220001220703125,False,51,100,0.2
29,BSA,100,2,0.3,0.0,1112.4393641624029,19767,5.185999870300293,False,51,100,0.2
30,MOEA-QR-BSA,100,2,0.3,0.0,668.9813846493823,19476,5.215000152587891,False,51,100,0.2
31,BSA,100,2,0.3,0.0,668.9813846493823,19476,5.211999893188477,False,51,100,0.2
